time,apparent_zenith,zenith,apparent_elevation,elevation,azimuth,equation_of_time,shadow_azimuth,shadow_length_10m,shadow_length_20m
2026-08-29 07:00:00-04:00,85.68572674523095,85.87022281102216,4.314273254769055,4.129777188977838,81.42588133591505,-0.9520840685436269,261.42588133591505,132.55408131986874,265.1081626397375
2026-08-29 07:30:00-04:00,79.98990287039604,80.08035103991645,10.010097129603968,9.919648960083547,86.07737938290819,-0.9457613281701924,266.0773793829082,56.6544332332847,113.3088664665694
2026-08-29 08:00:00-04:00,74.1998926374961,74.25804728699438,15.800107362503889,15.741952713005617,90.77073582092981,-0.939436130123795,270.7707358209298,35.33899803771777,70.67799607543554
2026-08-29 08:30:00-04:00,68.40051053817717,68.44254507102288,21.599489461822834,21.557454928977126,95.610415067666,-0.9331084775258205,275.610415067666,25.257774439952442,50.515548879904884
2026-08-29 09:00:00-04:00,62.64466829863197,62.67700621267669,27.355331701368033,27.322993787323316,100.71723318325735,-0.9267783735049306,280.71723318325735,19.328822672149492,38.657645344298984
2026-08-29 09:30:00-04:00,56.98693150434193,57.012754226658565,33.01306849565807,32.987245773341435,106.23773891552457,-0.9204458208187134,286.2377389155246,15.39096306197033,30.78192612394066
2026-08-29 10:00:00-04:00,51.49399054611543,51.51511292132278,38.50600945388457,38.48488707867722,112.35578700562218,-0.914110822523071,292.3557870056222,12.569016813549627,25.138033627099254
2026-08-29 10:30:00-04:00,46.254150513071025,46.27172453770829,43.745849486928975,43.72827546229171,119.30496775020299,-0.9077733818339766,299.304967750203,10.447651275899211,20.895302551798423
2026-08-29 11:00:00-04:00,41.38931219355425,41.404144137219504,48.61068780644575,48.595855862780496,127.37585705679987,-0.9014335014217068,307.3758570567999,8.812871230046806,17.625742460093612
2026-08-29 11:30:00-04:00,37.06944821114038,37.08216554050677,52.93055178885962,52.91783445949323,136.90018034276898,-0.8950911844585789,316.900180342769,7.554561716682723,15.109123433365445
2026-08-29 12:00:00-04:00,33.524137959790195,33.535290989166946,56.475862040209805,56.464709010833054,148.17223543598567,-0.8887464340950828,328.17223543598567,6.624915797068382,13.249831594136763
2026-08-29 12:30:00-04:00,31.033927519148428,31.044056210850364,58.96607248085157,58.955943789149636,161.25637017324584,-0.8823992529796669,341.25637017324584,6.016668377526717,12.033336755053433
2026-08-29 13:00:00-04:00,29.8729348663069,29.882604107920166,60.1270651336931,60.117395892079834,175.71392296037857,-0.8760496443574084,355.71392296037857,5.743971056269043,11.487942112538086
2026-08-29 13:30:00-04:00,30.198843611811817,30.20864074106934,59.80115638818818,59.79135925893066,190.52212635557416,-0.8696976113351411,10.522126355574187,5.8198687905083695,11.639737581016739
2026-08-29 14:00:00-04:00,31.965440543684217,31.97594594036999,58.03455945631578,58.02405405963001,204.47948641296335,-0.8633431566122454,24.479486412963354,6.240309742492838,12.480619484985676
2026-08-29 14:30:00-04:00,34.95010876056944,34.96187480021151,55.04989123943056,55.03812519978849,216.79676308904533,-0.8569862833755906,36.79676308904533,6.989106336552199,13.978212673104398
2026-08-29 15:00:00-04:00,38.86499052665953,38.87855579694545,51.13500947334047,51.12144420305455,227.2834437305653,-0.8506269947683904,47.283443730565295,8.058899133080503,16.117798266161007
2026-08-29 15:30:00-04:00,43.448181086606695,43.464120146949085,46.551818913393305,46.535879853050915,236.13517194539935,-0.8442652935118531,56.13517194539935,9.472471772325843,18.944943544651686
2026-08-29 16:00:00-04:00,48.496683443127104,48.51568730772472,41.503316556872896,41.48431269227528,243.6783902344676,-0.8379011827710201,63.6783902344676,11.301625584841734,22.603251169683467
2026-08-29 16:30:00-04:00,53.86322521753942,53.886225874346835,36.13677478246058,36.113774125653165,250.23173380466363,-0.8315346656963811,70.23173380466363,13.694950447178647,27.389900894357293
2026-08-29 17:00:00-04:00,59.44220273697223,59.47059074998131,30.557797263027773,30.52940925001869,256.0610456360891,-0.8251657449873164,76.06104563608909,16.937537748915194,33.87507549783039
2026-08-29 17:30:00-04:00,65.1560554129535,65.19212231186233,24.843944587046497,24.80787768813766,261.3769236746308,-0.8187944238597993,81.3769236746308,21.598461977508673,43.19692395501735
2026-08-29 18:00:00-04:00,70.9445384667644,70.99253569005866,19.055461533235604,19.007464309941344,266.34549332108185,-0.8124207054352155,86.34549332108185,28.951040661727973,57.902081323455945
2026-08-29 18:30:00-04:00,76.75552838838821,76.82479631869327,13.244471611611782,13.175203681306723,271.10082861110163,-0.806044592471153,91.10082861110163,42.486856424748964,84.97371284949793
2026-08-29 19:00:00-04:00,82.53024246872775,82.64807744170948,7.469757531272245,7.351922558290528,275.7556229597153,-0.7996660881472053,95.75562295971531,76.26860101816139,152.53720203632278
2026-08-29 19:30:00-04:00,88.1129678865087,88.42400222965517,1.8870321134913035,1.5759977703448342,280.40965471242055,-0.7932851955556544,100.40965471242055,303.5192733920066,607.0385467840132
