time,temperature_exposure_pearson,temperature_exposure_spearman,temperature_solar_index_pearson,temperature_solar_index_spearman,temperature_tree_shade_pearson,temperature_tree_shade_spearman,temperature_canopy_overlap_pearson,temperature_canopy_overlap_spearman,temperature_canopy_distance_pearson,temperature_canopy_distance_spearman,high_minus_low_exposure_temperature_c,high_minus_low_tree_shade_temperature_c
09:00,0.0971,0.0418,0.0874,0.0283,-0.1045,-0.0549,-0.0695,-0.0562,0.0558,0.0929,0.0208,-0.0259
12:00,0.0922,0.0989,0.0736,0.0759,-0.1025,-0.1014,-0.0758,-0.0853,0.0605,0.0897,0.0475,-0.0657
15:00,0.0864,0.0541,0.0724,0.023,-0.0989,-0.0844,-0.0756,-0.0747,0.0562,0.115,0.0686,-0.0894
18:00,0.0974,0.077,0.1106,0.0985,-0.1073,-0.0897,-0.0784,-0.0939,0.0522,0.1373,0.0721,-0.0823
