id,overture_height_m,analysis_height_m,height_source,height_confidence,height_uncertainty_m,num_floors,roof_shape,roof_height,has_parts,footprint_area_m2,building_uid,nearest_canopy_distance_m,mean_roof_canopy_distance_m,canopy_overlap_pct,building_raster_pixels,distance_sampling_method,roof_area_m2,facade_area_m2,envelope_area_m2,roof_shaded_0900_m2,roof_exposed_0900_m2,facade_sunfacing_0900_m2,facade_shaded_0900_m2,facade_direct_0900_m2,tree_shaded_0900_m2,direct_sun_0900_m2,exposure_fraction_0900,solar_index_0900,tree_shade_fraction_0900,roof_shaded_1200_m2,roof_exposed_1200_m2,facade_sunfacing_1200_m2,facade_shaded_1200_m2,facade_direct_1200_m2,tree_shaded_1200_m2,direct_sun_1200_m2,exposure_fraction_1200,solar_index_1200,tree_shade_fraction_1200,roof_shaded_1500_m2,roof_exposed_1500_m2,facade_sunfacing_1500_m2,facade_shaded_1500_m2,facade_direct_1500_m2,tree_shaded_1500_m2,direct_sun_1500_m2,exposure_fraction_1500,solar_index_1500,tree_shade_fraction_1500,roof_shaded_1800_m2,roof_exposed_1800_m2,facade_sunfacing_1800_m2,facade_shaded_1800_m2,facade_direct_1800_m2,tree_shaded_1800_m2,direct_sun_1800_m2,exposure_fraction_1800,solar_index_1800,tree_shade_fraction_1800,mean_exposure_fraction,mean_solar_exposure_index,mean_tree_shade_fraction,roof_raster_available
9a885565-204f-4ff5-b1fb-77a95b6c291a,3.0916,3.0916,overture_height,provided,,,gabled,,False,15.0065,3480,2.0,3.3,0.0,12,pixel_centre,15.0065,54.9561,69.9627,0.0,15.0065,27.4781,0.0,27.4781,0.0,42.4846,0.6072,0.3719,0.0,0.0,15.0065,27.4781,0.0,27.4781,0.0,42.4846,0.6072,0.3055,0.0,0.0,15.0065,27.4781,0.2887,27.1894,0.2887,42.196,0.6031,0.3463,0.0068,0.0,15.0065,27.4781,3.5121,23.966,3.5121,38.9725,0.557,0.3258,0.0827,0.5937,0.3374,0.0224,True
701adcf0-1ae7-43ce-ab1b-3824345b7fed,3.9219,3.9219,overture_height,provided,,,gabled,,False,14.3672,3481,0.0,0.33,73.33,15,pixel_centre,14.3672,59.5485,73.9157,14.3672,0.0,29.7743,29.7743,0.0,44.1415,0.0,0.0,0.0,1.0,6.7047,7.6625,29.7743,29.5784,0.1959,36.2831,7.8584,0.1063,0.0878,0.822,14.3672,0.0,29.7743,29.7743,0.0,44.1415,0.0,0.0,0.0,1.0,14.3672,0.0,29.7743,29.7743,0.0,44.1415,0.0,0.0,0.0,1.0,0.0266,0.022,0.9555,True
f91954cc-8f06-4971-9f49-19b04bc16df8,12.52,12.52,overture_height,provided,,,gabled,,False,1241.4153,3482,1.0,7.06,0.0,1254,pixel_centre,1241.4153,1769.0494,3010.4646,0.0,1241.4153,884.5312,295.1583,589.3729,295.1583,1830.7882,0.6081,0.2668,0.1388,0.0,1241.4153,884.5312,213.325,671.2062,213.325,1912.6215,0.6353,0.4333,0.1003,0.0,1241.4153,884.5201,74.3362,810.1839,74.3362,2051.5992,0.6815,0.4404,0.035,0.0,1241.4153,884.5201,160.2292,724.2909,160.2292,1965.7061,0.653,0.2354,0.0754,0.6445,0.344,0.0874,True
962f4518-98ad-4a04-b27f-9f1b03a1f7b3,11.78,11.78,overture_height,provided,,,flat,,False,1358.1412,3483,0.0,7.75,0.59,1346,pixel_centre,1358.1412,2018.6644,3376.8056,0.0,1358.1412,1005.0472,445.8166,559.2306,445.8166,1917.3718,0.5678,0.2434,0.1887,0.0,1358.1412,1005.0472,282.1062,722.9411,282.1062,2081.0822,0.6163,0.4245,0.1194,0.0,1358.1412,1007.6431,166.6691,840.9739,166.6691,2199.1151,0.6512,0.423,0.0704,7.0631,1351.078,1007.6431,250.6914,756.9517,257.7545,2108.0297,0.6243,0.2215,0.109,0.6149,0.3281,0.1219,True
e93be818-b010-4632-b6d6-56e39bd2d797,15.31,15.31,overture_height,provided,,,gabled,,False,637.9286,3484,0.0,6.38,0.16,631,pixel_centre,637.9286,1558.3197,2196.2483,0.0,637.9286,777.5481,199.4281,578.12,199.4281,1216.0486,0.5537,0.2771,0.1409,0.0,637.9286,777.5481,113.6654,663.8827,113.6654,1301.8113,0.5927,0.3547,0.0803,0.0,637.9286,781.3786,43.178,738.2006,43.178,1376.1292,0.6266,0.3756,0.0304,0.0,637.9286,781.3786,216.4667,564.912,216.4667,1202.8405,0.5477,0.2383,0.1525,0.5802,0.3114,0.101,True
c2533fe8-170a-4f6c-aca6-6f76daf0f4cc,3.533,3.533,overture_height,provided,,,gabled,,False,23.0604,3485,1.0,3.77,0.0,24,pixel_centre,23.0604,72.2916,95.352,0.0,23.0604,36.1458,6.8923,29.2535,6.8923,52.3139,0.5486,0.1957,0.1164,0.0,23.0604,36.1458,0.0,36.1458,0.0,59.2062,0.6209,0.3572,0.0,0.0,23.0604,36.1458,0.0,36.1458,0.0,59.2062,0.6209,0.3549,0.0,0.0,23.0604,36.1458,0.0,36.1458,0.0,59.2062,0.6209,0.2146,0.0,0.6029,0.2806,0.0291,True
5f73ab7c-c9c3-4fef-a313-a1470419fe59,,11.1821,model_estimate,low,3.8424,,,,False,863.9711,3486,8.0,16.75,0.0,857,pixel_centre,863.9711,2188.3363,3052.3074,0.0,863.9711,1081.2758,0.0,1081.2758,0.0,1945.2469,0.6373,0.3069,0.0,0.0,863.9711,1103.9976,0.0,1103.9976,0.0,1967.9687,0.6447,0.3651,0.0,0.0,863.9711,1066.9893,0.0,1066.9893,0.0,1930.9604,0.6326,0.3828,0.0,0.0,863.9711,1116.35,15.227,1101.123,15.227,1965.0941,0.6438,0.277,0.0077,0.6396,0.333,0.0019,True
3bfb7612-f5ff-4b87-9b07-7a97bfe3837b,,6.2423,model_estimate,medium,0.8445,,,,False,144.8631,3487,0.0,2.05,42.57,148,pixel_centre,144.8631,326.122,470.9851,119.4142,25.4489,163.0307,162.3051,0.7257,281.7192,26.1746,0.0556,0.0252,0.915,45.025,99.8381,163.0307,45.256,117.7747,90.281,217.6128,0.462,0.2764,0.2932,45.025,99.8381,163.0375,46.4313,116.6062,91.4564,216.4442,0.4596,0.2701,0.297,144.8631,0.0,163.0913,163.0913,0.0,307.9544,0.0,0.0,0.0,1.0,0.2443,0.1429,0.6263,True
d4e40f55-515e-4025-addb-db295e3ec246,4.6355,4.6355,overture_height,provided,,,gabled,,False,201.7003,3488,0.0,1.9,13.79,203,pixel_centre,201.7003,297.4503,499.1506,57.6287,144.0716,148.7031,125.1994,23.5037,182.8281,167.5753,0.3357,0.1726,0.5218,47.6927,154.0076,148.7031,116.6172,32.0859,164.3099,186.0935,0.3728,0.2763,0.4689,17.8848,183.8156,148.7541,98.3026,50.4515,116.1874,234.267,0.4693,0.3348,0.3315,15.8976,185.8027,148.7472,82.0478,66.6994,97.9453,252.5022,0.5059,0.1687,0.2795,0.4209,0.2381,0.4004,True
31a0dfc1-3931-460c-ba5d-8a1bd51906d7,5.8873,5.8873,overture_height,provided,,,gabled,,False,132.0613,3489,0.0,3.48,6.77,133,pixel_centre,132.0613,275.2046,407.2659,0.0,132.0613,137.6023,77.6344,59.9679,77.6344,192.0291,0.4715,0.2503,0.2879,0.0,132.0613,137.6024,14.9111,122.6913,14.9111,254.7526,0.6255,0.3811,0.0553,0.0,132.0613,137.6023,0.0,137.6023,0.0,269.6636,0.6621,0.3581,0.0,0.0,132.0613,137.6023,3.9859,133.6165,3.9859,265.6777,0.6523,0.3275,0.0148,0.6029,0.3292,0.0895,True
