id,overture_height_m,analysis_height_m,height_source,height_confidence,height_uncertainty_m,num_floors,roof_shape,roof_height,has_parts,footprint_area_m2,building_uid,nearest_canopy_distance_m,mean_roof_canopy_distance_m,canopy_overlap_pct,building_raster_pixels,distance_sampling_method,roof_area_m2,facade_area_m2,envelope_area_m2,roof_shaded_0900_m2,roof_exposed_0900_m2,facade_sunfacing_0900_m2,facade_shaded_0900_m2,facade_direct_0900_m2,tree_shaded_0900_m2,direct_sun_0900_m2,exposure_fraction_0900,solar_index_0900,tree_shade_fraction_0900,roof_shaded_1200_m2,roof_exposed_1200_m2,facade_sunfacing_1200_m2,facade_shaded_1200_m2,facade_direct_1200_m2,tree_shaded_1200_m2,direct_sun_1200_m2,exposure_fraction_1200,solar_index_1200,tree_shade_fraction_1200,roof_shaded_1500_m2,roof_exposed_1500_m2,facade_sunfacing_1500_m2,facade_shaded_1500_m2,facade_direct_1500_m2,tree_shaded_1500_m2,direct_sun_1500_m2,exposure_fraction_1500,solar_index_1500,tree_shade_fraction_1500,roof_shaded_1800_m2,roof_exposed_1800_m2,facade_sunfacing_1800_m2,facade_shaded_1800_m2,facade_direct_1800_m2,tree_shaded_1800_m2,direct_sun_1800_m2,exposure_fraction_1800,solar_index_1800,tree_shade_fraction_1800,mean_exposure_fraction,mean_solar_exposure_index,mean_tree_shade_fraction,roof_raster_available,temperature_c_0900,temperature_c_1200,temperature_c_1500,temperature_c_1800,mean_temperature_c,maximum_temperature_c,minimum_temperature_c,temperature_range_c,surrounding_lai_mean_30m,surrounding_lai_median_30m,surrounding_lai_pixel_count_30m
c4626b2f-38e1-4d0a-b9e1-3885ab79a467,6.0119,6.0119,overture_height,provided,,,gabled,,False,117.01,3313,0.0,2.12,6.14,114,pixel_centre,117.01,281.3988,398.4089,0.0,117.01,140.7594,63.3323,77.4271,63.3323,194.4372,0.488,0.1983,0.2457,0.0,117.01,140.7594,39.6906,101.0688,39.6906,218.0788,0.5474,0.3472,0.154,0.0,117.01,140.6981,35.9588,104.7393,35.9588,221.7493,0.5566,0.3472,0.1395,0.0,117.01,140.6981,67.9734,72.7247,67.9734,189.7347,0.4762,0.1875,0.2638,0.5171,0.2701,0.2007,True,22.3547,27.1431,30.8791,30.3311,27.677,30.8791,22.3547,8.5244,1.5751851399739583,1.3709864616394043,9
d97fb20d-f153-4ca0-a8f4-ffab2e9a3507,11.1092,11.1092,overture_height,provided,,,gabled,,False,265.0578,3314,0.0,4.08,4.51,266,pixel_centre,265.0578,738.1077,1003.1655,13.9504,251.1074,369.1648,140.8886,228.2762,154.839,479.3836,0.4779,0.159,0.2441,0.0,265.0578,369.1648,76.9134,292.2514,76.9134,557.3093,0.5556,0.3374,0.1213,0.0,265.0578,369.0532,17.2186,351.8346,17.2186,616.8925,0.6149,0.3627,0.0272,0.0,265.0578,369.0532,151.3922,217.661,151.3922,482.7188,0.4812,0.2284,0.2387,0.5324,0.2719,0.1578,True,22.35472738600398,27.14307717833002,30.879125103836984,30.331131950337973,27.67701540462724,30.879125103836984,22.35472738600398,8.524397717833004,1.587821324666341,1.346067190170288,9
e1900d74-9c38-4640-92a6-1e6ba476dc84,,11.0125,estimated_from_floors,medium,,3.0,,,False,1254.4683,3315,0.0,8.76,1.36,1254,pixel_centre,1254.4683,1608.9943,2863.4626,96.0359,1158.4324,804.5415,344.7562,459.7853,440.792,1618.2178,0.5651,0.2578,0.2141,9.0034,1245.4649,804.5415,264.477,540.0645,273.4804,1785.5294,0.6236,0.4342,0.1328,9.0034,1245.4649,804.5496,97.903,706.6466,106.9064,1952.1115,0.6817,0.4449,0.0519,9.0034,1245.4649,804.5496,81.3392,723.2104,90.3425,1968.6754,0.6875,0.3155,0.0439,0.6395,0.3631,0.1107,True,22.35350160324451,27.144874043612095,30.878648819448372,30.32873450640143,27.6764397431766,30.878648819448372,22.35350160324451,8.525147216203862,1.0480575561523438,0.9385228157043457,20
815a58d2-6210-44d6-b3a7-c9772a390919,10.9693,10.9693,overture_height,provided,,,gabled,,False,139.1918,3316,0.0,2.6,1.44,139,pixel_centre,139.1918,547.6638,686.8556,3.0041,136.1876,273.832,218.213,55.619,221.2172,191.8066,0.2793,0.0978,0.5356,0.0,139.1918,273.832,45.806,228.026,45.806,367.2178,0.5346,0.3022,0.1109,0.0,139.1918,273.832,38.8188,235.0132,38.8188,374.205,0.5448,0.3116,0.094,90.1242,49.0676,273.832,222.3185,51.5135,312.4427,100.5812,0.1464,0.0359,0.7565,0.3763,0.1869,0.3742,True,22.35566964934981,27.145427158439542,30.88220287791939,30.328191051950572,27.67787268441483,30.88220287791939,22.35566964934981,8.52653322856958,1.5892660352918837,1.478477954864502,9
fefc25c7-7ba4-47fd-a03f-a259dbea7eb3,7.6899,7.6899,overture_height,provided,,,gabled,,False,105.9099,3317,0.0,2.41,6.6,106,pixel_centre,105.9099,335.9437,441.8536,0.0,105.9099,168.0024,25.2832,142.7193,25.2832,248.6292,0.5627,0.2062,0.0923,0.0,105.9099,168.0024,17.1543,150.8482,17.1543,256.7581,0.5811,0.3385,0.0626,0.0,105.9099,168.0077,6.8233,161.1844,6.8233,267.0943,0.6045,0.3508,0.0249,5.9949,99.915,168.0077,118.0445,49.9633,124.0394,149.8783,0.3392,0.1665,0.4528,0.5219,0.2655,0.1582,True,22.356141969326394,27.144837046010405,30.882432590797915,30.32845357546111,27.677966295398956,30.882432590797915,22.356141969326394,8.52629062147152,1.5311133066813152,1.3762526512145996,12
7821b4e2-1bbc-452f-a70d-30bd2ecb2165,2.988,2.988,overture_height,provided,,,gabled,,False,9.8379,3318,3.61,5.0,0.0,8,pixel_centre,9.8379,38.5263,48.3642,0.0,9.8379,19.2632,0.0,19.2632,0.0,29.101,0.6017,0.326,0.0,0.0,9.8379,19.2632,0.0,19.2632,0.0,29.101,0.6017,0.3171,0.0,0.0,9.8379,19.2632,0.0,19.2632,0.0,29.101,0.6017,0.3341,0.0,9.8379,0.0,19.2632,19.1062,0.1569,28.9441,0.1569,0.0032,0.0004,0.9946,0.4521,0.2444,0.2487,True,22.3557,27.1455,30.8823,30.3281,27.6779,30.8823,22.3557,8.5266,1.8020726442337036,1.8367691040039062,8
6f15de92-f36d-4de9-8deb-a129a32efd53,3.9884,3.9884,overture_height,provided,,,gabled,,False,47.3808,3319,0.0,0.17,82.98,47,pixel_centre,47.3808,114.0987,161.4795,38.3079,9.0729,57.0577,37.759,19.2987,76.067,28.3716,0.1757,0.0429,0.7283,37.2998,10.081,57.0577,15.778,41.2797,53.0779,51.3607,0.3181,0.156,0.5082,37.2998,10.081,57.0105,27.6553,29.3553,64.9551,39.4363,0.2442,0.1342,0.6222,40.3241,7.0567,57.0105,38.4256,18.5849,78.7497,25.6417,0.1588,0.0406,0.7544,0.2242,0.0934,0.6533,True,22.3557,27.1455,30.8823,30.3281,27.6779,30.8823,22.3557,8.5266,1.6843198776245116,1.7469425201416016,10
4a36202f-9828-4947-97fc-61ee9d725707,6.3869,6.3869,overture_height,provided,,,gabled,,False,144.6541,3320,0.0,0.22,78.38,148,pixel_centre,144.6541,363.0961,507.7502,144.6541,0.0,181.5232,181.5232,0.0,326.1773,0.0,0.0,0.0,1.0,137.8124,6.8417,181.5232,179.0624,2.4608,316.8748,9.3025,0.0183,0.0133,0.9715,115.3323,29.3218,181.5184,87.947,93.5714,203.2793,122.8932,0.242,0.1231,0.6232,110.4454,34.2087,181.5184,86.5583,94.9601,197.0036,129.1689,0.2544,0.1644,0.604,0.1287,0.0752,0.7997,True,22.3543,27.1475,30.8819,30.3271,27.6777,30.8819,22.3543,8.5276,0.9260000749067827,0.9816186428070068,11
e5cd5545-6e83-4642-bf52-cf9654cd387d,8.0413,8.0413,overture_height,provided,,,gabled,,False,119.3055,3321,0.0,2.09,9.32,118,pixel_centre,119.3055,365.7546,485.0601,15.166,104.1395,182.7664,143.767,38.9995,158.9329,143.139,0.2951,0.1645,0.5261,4.0443,115.2612,182.7664,113.6322,69.1342,117.6765,184.3954,0.3801,0.2553,0.3896,1.0111,118.2944,182.8404,65.9048,116.9356,66.9159,235.2301,0.485,0.296,0.2215,103.1285,16.177,182.8404,168.5604,14.28,271.6889,30.457,0.0628,0.0161,0.8992,0.3057,0.183,0.5091,True,22.35633023789697,27.144554643154546,30.882489071369086,30.328604190317577,27.677994535684547,30.882489071369086,22.35633023789697,8.526158833472117,1.3981226921081542,1.2550098896026611,10
ba656dd8-6b21-4231-b252-22d7488c0d09,8.636,8.636,overture_height,provided,,,gabled,,False,106.8039,3322,0.0,0.15,85.58,104,pixel_centre,106.8039,369.9557,476.7595,62.6446,44.1593,184.9779,113.8961,71.0818,176.5406,115.2411,0.2417,0.1163,0.605,50.321,56.4828,184.9779,106.8432,78.1347,157.1643,134.6175,0.2824,0.1627,0.5386,78.049,28.7549,184.9779,155.6839,29.294,233.7329,58.0488,0.1218,0.0756,0.8011,106.8039,0.0,184.9779,184.9779,0.0,291.7818,0.0,0.0,0.0,1.0,0.1615,0.0887,0.7362,True,22.3557,27.1455,30.8823,30.3281,27.6779,30.8823,22.3557,8.5266,1.8206110000610352,1.879807949066162,8
13f336d8-c643-40a0-a827-f5b3ea836f47,8.319,8.319,overture_height,provided,,,gabled,,False,105.8412,3323,0.0,1.65,13.33,105,pixel_centre,105.8412,355.2765,461.1177,73.5849,32.2564,177.6715,171.4902,6.1813,245.0751,38.4377,0.0834,0.044,0.8644,17.1362,88.705,177.6715,144.347,33.3246,161.4832,122.0296,0.2646,0.1846,0.5696,16.1282,89.7131,177.6769,155.7077,21.9692,171.8359,111.6822,0.2422,0.1714,0.6061,58.4647,47.3766,177.6769,167.4048,10.2721,225.8695,57.6487,0.125,0.0543,0.7967,0.1788,0.1136,0.7092,True,22.355130218143568,27.149764231300633,30.884994449444203,30.3258169355963,27.678926458621177,30.884994449444203,22.355130218143568,8.529864231300635,1.5088329315185547,1.7668005228042603,8
c82c9bf4-f7ed-4249-8b28-63680fe75d93,9.3401,9.3401,overture_height,provided,,,gabled,,False,124.1425,3324,1.0,2.62,0.0,123,pixel_centre,124.1425,430.3611,554.5036,0.0,124.1425,215.295,72.6729,142.6221,72.6729,266.7647,0.4811,0.1982,0.2141,0.0,124.1425,215.295,45.8344,169.4607,45.8344,293.6032,0.5295,0.3079,0.135,0.0,124.1425,215.0884,59.9987,155.0897,59.9987,279.2322,0.5036,0.3004,0.1769,3.0279,121.1147,215.0884,183.1665,31.9219,186.1944,153.0365,0.276,0.1182,0.5489,0.4475,0.2312,0.2687,True,22.357343545115054,27.1461476775221,30.88506953550442,30.3254,27.678490189535395,30.88506953550442,22.357343545115054,8.527725990389367,1.4726794560750325,1.450066089630127,9
c91f1153-abfc-4f0a-bf08-d9b4594c676a,3.3541,3.3541,overture_height,provided,,,gabled,,False,19.5367,3325,0.0,1.09,15.79,19,pixel_centre,19.5367,59.7733,79.31,11.3107,8.226,29.8866,24.2801,5.6065,35.5909,13.8325,0.1744,0.1101,0.7201,16.452,3.0847,29.8866,26.927,2.9597,43.3789,6.0444,0.0762,0.049,0.8777,3.0847,16.452,29.8866,16.6138,13.2729,19.6985,29.7249,0.3748,0.2346,0.3986,19.5367,0.0,29.8866,29.8866,0.0,49.4234,0.0,0.0,0.0,1.0,0.1564,0.0984,0.7491,True,22.3554,27.1505,30.886,30.3254,27.679325,30.886,22.3554,8.5306,1.5273711681365967,1.8367691040039062,8
f4deaf86-36e3-4561-b45e-97c19dc83057,5.3941,5.3941,overture_height,provided,,,gabled,,False,126.4815,3326,0.0,0.18,83.2,125,pixel_centre,126.4815,243.934,370.4155,124.4578,2.0237,121.9461,114.3074,7.6387,238.7652,9.6624,0.0261,0.0126,0.9611,118.3867,8.0948,121.9461,114.3074,7.6387,232.694,15.7335,0.0425,0.0262,0.9367,123.4459,3.0356,121.9415,121.9415,0.0,245.3874,3.0356,0.0082,0.0064,0.9878,122.4341,4.0474,121.9415,121.6876,0.2539,244.1217,4.3013,0.0116,0.0037,0.9827,0.0221,0.0122,0.9671,True,22.3566,27.1478,30.8854,30.3254,27.6788,30.8854,22.3566,8.5288,1.8308666547139485,1.888972520828247,12
